Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
GILB,Global IME Laghubitta Bittiya Sanstha Ltd. (GILB),Microfinance,"6,189,000.45","38.24 (FY:081-082, Q:2)",33.58,200.38,6.41,"7,946,676,577.80",,,"1:1
                                
                                    (FY:076-077)"
MNBBLP,Muktinath Bikas Bank Limited Promoter Share (MNBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,221,0,"1.63
                                
                                    (FY:071-072)","31.00
                                
                                    (FY:071-072)",
ALBSLP,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share (ALBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,531.2,0,,,
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited (SLBSL),Microfinance,"1,708,050.00","-12.73 (FY:081-082, Q:2)",-202.83,107.91,23.93,"4,410,185,100.00",,,
SRBLPO,Sunrise Bank Ltd Promoter Share (SRBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,128,0,"1.13
                                
                                    (FY:071-072)","21.50
                                
                                    (FY:071-072)","10:3
                                
                                    (FY:071-072)"
SHEL,Singati Hydro Energy Limited (SHEL),Hydro Power,"29,000,000.00","9.85 (FY:081-082, Q:2)",26.59,109.28,2.4,"7,595,100,000.00",,,"1:1
                                
                                    (FY:080-081)"
USHEC,Upper Solu Hydro Electric Company Limited  (USHEC),Hydro Power,"13,500,000.00","21.22 (FY:081-082, Q:2)",29.73,104.95,6.01,"8,517,150,000.00",,,
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited (ULBSL),Microfinance,"1,061,480.00","31.72 (FY:081-082, Q:2)",119.17,206.09,18.34,"4,012,394,400.00",,,
MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85 (MND84/85),Corporate Debenture,"1,250,000.00","0.00 (FY:, Q:0)",0,0,"1,025.00","1,281,250,000.00",,,
BEDC,Bhugol Energy Development Company Limited  (BEDC),Hydro Power,"5,440,534.00","-2.22 (FY:081-082, Q:2)",-371.17,52.56,15.68,"4,483,000,016.00",,,
HHL,Himalayan Hydropower Limited (HHL),Hydro Power,"10,950,000.00","10.05 (FY:081-082, Q:2)",50.75,77.12,6.61,"5,584,500,000.00",,,
KSY,Kumari Sabal Yojana (KSY),Mutual Fund,"74,475,070.00","0.00 (FY:081-082, Q:10)",0,0,0,"653,891,114.60",,,
SNLIP,Sun Nepal Life Insurance Company Limited promoter (SNLIP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NIMBD90,10% NIMB Debenture 2090 (NIMBD90),Corporate Debenture,"4,040,000.00","0.00 (FY:, Q:0)",0,0,"1,115.00","4,504,600,000.00",,,
MLBSLP,Mahila Lagubitta Bittiya Sanstha Limited Promoter Share (MLBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,,,
ADBLD83,10.35% Agricultural Bank Debenture 2083 (ADBLD83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,079.60",0,,,
UAILPO,United Ajod Insurance Limited Promoter Share (UAILPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,382,0,,,
NLIC,Nepal Life Insurance Co. Ltd. (NLIC),Life Insurance,"90,287,632.10","10.37 (FY:081-082, Q:2)",75.6,149.56,5.24,"70,785,503,566.40","11.05
                                
                                    (FY:080-081)","10.00
                                
                                    (FY:080-081)",
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd. (RSDC),Microfinance,"9,443,510.65","9.36 (FY:081-082, Q:2)",76.91,132.29,5.44,"6,798,383,316.94",,,
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited (JBLB),Microfinance,"13,475,189.00","30.49 (FY:081-082, Q:2)",44.8,258.8,5.28,"18,407,108,174.00",,,
SJLICP,Suryajyoti Life Insurance Co. Ltd. Promotor Share (SJLICP),Others,,"0.00 (FY:, Q:0)",0,0,245,0,,,
GMLI,Guardian Micro-Life Insurance Limited (GMLI),Life Insurance,"7,500,000.00","3.09 (FY:081-082, Q:2)",640.78,107.07,18.49,"14,850,000,000.00",,,
KBLD86,10.25% Kumari Bank Debenture 2086 (KBLD86),Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,105.00","3,315,000,000.00",,,
SHINE,Shine Resunga Development Bank Ltd. (SHINE),Development Bank Limited,"48,757,016.80","13.57 (FY:081-082, Q:2)",31.33,143.74,2.96,"20,726,607,841.68",,,"2:1
                                
                                    (FY:069-070)"
LBBLD89,11% L.B.B.L. Debenture 2089 (LBBLD89),Corporate Debenture,"1,000,000.00","0.00 (FY:, Q:0)",0,0,"1,166.20","1,166,200,000.00",,,
NMFBS,National Laghubitta Bittiya Sanstha Limited (NMFBS),Microfinance,"13,316,090.00","32.34 (FY:081-082, Q:2)",39.46,219.67,5.81,"16,991,330,840.00",,,
ICFC,ICFC Finance Limited (ICFC),Finance,"11,834,709.60","18.44 (FY:081-082, Q:2)",34.11,166.18,3.79,"7,444,032,338.40",,,"2:1
                                
                                    (FY:072-073)"
PBLD87,8.5% Prabhu Bank Debenture 2087 (PBLD87),Corporate Debenture,"2,650,000.00","0.00 (FY:, Q:0)",0,0,"1,016.00","2,692,400,000.00",,,
GBBLPO,Garima Bikas Bank Limited Promoter Share (GBBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,205,0,"1.05
                                
                                    (FY:070-071)","20.00
                                
                                    (FY:071-072)",
JBBD87,Jyoti Bikash Bank Bond 2087 (JBBD87),Corporate Debenture,"1,500,000.00","0.00 (FY:, Q:0)",0,0,"1,038.00","1,557,000,000.00",,,
NRBBR2076Ga,Bikash Rinpatra 2076 Ga (NRBBR2076GA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SBIB2079,Nepal SBI Bank - 2079 (SBIB2079),Corporate Debenture,"400,000.00","0.00 (FY:, Q:0)",0,0,0,0,,,
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited (SMPDA),Microfinance,"7,008,583.45","17.61 (FY:081-082, Q:2)",53.38,150.1,6.26,"6,588,068,443.00",,,
NIFRA,Nepal Infrastructure Bank Limited (NIFRA),Investment,"216,000,000.00","5.94 (FY:081-082, Q:2)",45.99,116.54,2.34,"59,011,200,000.00",,"8.00
                                
                                    (FY:077-078)",
SSIS,Siddhartha Systematic Investment Scheme (SSIS),Mutual Fund,"20,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,0,,,
UFLPO,United Finance Company Limited Promoter Share (UFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,107,0,"0.79
                                
                                    (FY:071-072)","15.00
                                
                                    (FY:071-072)","4:1
                                
                                    (FY:071-072)"
MPFL,Multipurpose Finance Company Limited (MPFL),Finance,"6,102,000.00","6.57 (FY:081-082, Q:2)",99.24,116.33,5.6,"3,978,504,000.00",,,"1:0.35
                                
                                    (FY:080-081)"
AHL,Asian Hydropower Limited (AHL),Hydro Power,"3,400,000.00","-6.16 (FY:081-082, Q:2)",-114.45,92.04,7.66,"2,397,000,000.00",,,
CLI,Citizen Life Insurance Company Limited (CLI),Life Insurance,"50,000,000.00","9.24 (FY:081-082, Q:2)",57.52,164.44,3.23,"26,575,000,000.00",,,
SFMF,Sunrise First Mutual Fund (SFMF),Mutual Fund,"86,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"893,540,000.00","12.50
                                
                                    (FY:080-081)",,
MMFDBP,Mirmire Laghubitta Bittiya Sanstha Ltd. Promoter Share (MMFDBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,278,0,,,
GMFILP,Guheyshwori Merchant & Finance Ltd. Promoter Share (GMFILP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,213,0,,,
MSLBP,Mahuli Laghubitta Bittiya Sanstha Ltd Promoter (MSLBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,909.3,0,,,
NLICL,National Life Insurance Co. Ltd. (NLICL),Life Insurance,"52,121,330.82","10.71 (FY:081-082, Q:2)",59.57,134.01,4.76,"33,253,409,063.16",,,"10:6
                                
                                    (FY:074-075)"
SHL,Soaltee Hotel Limited (SHL),Hotels And Tourism,"9,289,537.00","6.50 (FY:081-082, Q:2)",75.38,26.04,18.82,"4,551,873,130.00","26.84
                                
                                    (FY:080-081)","10.00
                                
                                    (FY:080-081)",
MSLB,Mahuli Laghubitta Bittiya Sanstha Ltd. (MSLB),Microfinance,"3,223,785.85","5.56 (FY:081-082, Q:2)",241.91,199.31,6.75,"4,335,991,968.25",,,"2:1
                                
                                    (FY:075-076)"
SLBBLP,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share (SLBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,499,0,"1.80
                                
                                    (FY:071-072)","34.20
                                
                                    (FY:071-072)",
SDBD87,9% Shangri-la Development Bank Debenture 2087 (SDBD87),Corporate Debenture,"750,000.00","0.00 (FY:, Q:0)",0,0,"1,060.00","795,000,000.00",,,
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087 (KSBBLD87),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,050.00",0,,,
GVL,Green Ventures Limited (GVL),Hydro Power,"31,250,000.00","23.95 (FY:081-082, Q:2)",20.67,123.23,4.02,"15,468,750,000.00","0.53
                                
                                    (FY:080-081)","10.00
                                
                                    (FY:080-081)",
MAKAR,Makar Jitumaya Suri Hydropower Limited (MAKAR),Hydro Power,"7,600,000.00","19.98 (FY:081-082, Q:2)",37.38,108.17,6.9,"5,676,440,000.00",,,
MERO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd. (MERO),Microfinance,"13,200,000.00","17.88 (FY:081-082, Q:2)",40.94,160.99,4.55,"9,662,400,000.00",,,
PRVU,Prabhu Bank Limited (PRVU),Commercial Banks,"235,424,900.00","11.35 (FY:081-082, Q:2)",19.04,144.79,1.49,"50,875,320,890.00",,,"10:4
                                
                                    (FY:072-073)"
SBID83,10.25% Nepal SBI Bank Debenture 2083 (SBID83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,075.00",0,,,
PRIN,Prabhu Insurance Ltd. (PRIN),Non-Life Insurance,"14,414,880.67","16.66 (FY:081-082, Q:2)",60.02,234.14,4.27,"14,414,880,670.00",,,"1:0.46
                                
                                    (FY:074-075)"
NMBD2085,10% NMB DEBENTURE 2085 (NMBD2085),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,076.60",0,,,
WNLB,WEAN Nepal Laghubitta Bittiya Sanstha Limited (WNLB),Microfinance,"792,113.00","-31.47 (FY:081-082, Q:2)",-98.63,100,31.04,"2,458,718,752.00",,,
MDB,Miteri Development Bank Limited (MDB),Development Bank Limited,"12,171,000.00","4.25 (FY:081-082, Q:2)",152.94,132.6,4.9,"7,911,150,000.00",,,"2:1
                                
                                    (FY:071-072)"
CITPO,Citizen Investment Trust Promoter Share (CITPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,,,
NICBF,NIC Asia Balanced Fund (NICBF),Mutual Fund,"75,500,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"686,295,000.00","9.25
                                
                                    (FY:080-081)",,
SBLD89,10.75% SBL Debenture 2089 (SBLD89),Corporate Debenture,"4,000,000.00","0.00 (FY:, Q:0)",0,0,"1,150.00","4,600,000,000.00",,,
RBBD83,8.5% RBBL Debenture 2083 (RBBD83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,016.30",0,,,
NLO,Nepal Lube Oil Limited (NLO),Manufacturing And Processing,"728,626.80","60.29 (FY:081-082, Q:2)",4.59,562.48,0.49,"201,756,760.92","5.00
                                
                                    (FY:080-081)","20.00
                                
                                    (FY:080-081)",
NRBBR2083Gha,Nepal Rastra Bank Bikash Rinpatra 2083 Gha (NRBBR2083GHA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SPC,Samling Power Company Limited (SPC),Hydro Power,"5,000,000.00","4.54 (FY:081-082, Q:2)",124.01,110.65,5.09,"2,815,000,000.00",,,
SIGS2,Siddhartha Investment Growth Scheme - 2 (SIGS2),Mutual Fund,"120,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,159,200,000.00","6.50
                                
                                    (FY:079-080)",,
KBLD89,11% KBL Debenture 2089 (KBLD89),Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,172.50","3,517,500,000.00",,,
LUK,Laxmi unnati Kosh (LUK),Mutual Fund,"65,262,360.00","0.00 (FY:081-082, Q:10)",0,0,0,"642,181,622.40","7.50
                                
                                    (FY:080-081)",,
AKPL,Arun Kabeli Power Ltd. (AKPL),Hydro Power,"38,959,421.00","3.03 (FY:081-082, Q:2)",77.36,96.9,2.42,"9,132,088,282.40","0.53
                                
                                    (FY:078-079)",,"1:1
                                
                                    (FY:)"
SBLD2082,10.50% SBL Debenture 2082 (SBLD2082),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,040.00",0,,,
NLBBL,Nerude Laghubita Bittiya Sanstha Limited (NLBBL),Microfinance,"7,320,000.00","6.78 (FY:080-081, Q:2)",87.76,181.38,3.28,"4,355,400,000.00",,,
GBBD85,"Garima Debenture, 2085 (GBBD85)",Corporate Debenture,"1,000,000.00","0.00 (FY:, Q:0)",0,0,"1,026.50","1,026,500,000.00",,,
PRVUPO,Prabhu Bank Limited Promoter Share (PRVUPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,110.8,0,"5.00
                                
                                    (FY:066-067)",,
SADBL,Shangrila Development Bank Ltd. (SADBL),Development Bank Limited,"34,309,713.03","11.46 (FY:081-082, Q:2)",36.65,150.71,2.79,"14,410,079,472.60",,,
FOWADP,Forward Community Microfinance Bittiya Sanstha Ltd Promoter Share (FOWADP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,300,0,,,
NMLBBLP,Nerude Mirmire Laghubitta Bittiya Sanstha Limited Promoter Share (NMLBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,366.1,0,,,
UNLBP,Unique Nepal Laghubitta Bittiya Sanstha Limited Promoter (UNLBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,"1,383.00",0,,,
NICAP,NIC Asia Bank Limted Promoter Share (NICAP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,331.3,0,"2.05
                                
                                    (FY:071-072)","39.00
                                
                                    (FY:071-072)","4:1
                                
                                    (FY:071-072)"
SBID89,9% Nepal SBI Bank debenture 2089 (SBID89),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,060.00",0,,,
NABIL,Nabil Bank Limited (NABIL),Commercial Banks,"270,569,970.00","23.98 (FY:081-082, Q:2)",20.43,219.01,2.24,"132,579,285,300.00","10.00
                                
                                    (FY:080-081)",,
GUFL,Gurkhas Finance Ltd. (GUFL),Finance,"8,679,938.00","-0.60 (FY:081-082, Q:2)","-1,016.67",156.74,3.89,"5,294,762,180.00",,"7.00
                                
                                    (FY:071-072)","2:1
                                
                                    (FY:073-074)"
SGHC,Swet-Ganga Hydropower & Construction Limited  (SGHC),Hydro Power,"15,930,000.00","12.88 (FY:081-082, Q:2)",39.6,78.66,6.48,"8,124,300,000.00",,,
SBLD84,8.5% SBL Debenture 2084 (SBLD84),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,050.00",0,,,
KBSH,Kutheli Bukhari Small Hydropower Limited (KBSH),Hydro Power,"1,218,675.00","14.52 (FY:081-082, Q:2)",169.3,150.73,16.31,"2,995,746,885.00","0.53
                                
                                    (FY:080-081)",,
SBLPO,Siddhartha Bank Limited Promoter Share (SBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,137.7,0,"1.05
                                
                                    (FY:071-072)","20.00
                                
                                    (FY:071-072)",
RLFLPO,Reliance Finance Limited Promoter Share (RLFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,303,0,,,
NRBBR2073 KA,Bikash Rinpatra 2073 Ka (NRBBR2073 KA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NCCD86,9.5% NCC Debenture 2086 (NCCD86),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,073.50",0,,,
SCBPO,Standard Chartered Bank Limited Promoter Share (SCBPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
MKHL,Mai Khola Hydropower Limited (MKHL),Hydro Power,"3,921,568.00","2.86 (FY:081-082, Q:2)",243.01,102.55,6.78,"2,725,489,760.00","10.00
                                
                                    (FY:078-079)",,
HBLPO,Himalayan Bank Limited Promoter Share (HBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,133,0,"7.10
                                
                                    (FY:071-072)","35.00
                                
                                    (FY:071-072)",
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd. (NADEP),Microfinance,"4,857,600.00","6.86 (FY:081-082, Q:2)",131.92,147.23,6.15,"4,396,128,000.00",,,
HLBSLP,Himalayan Laghubitta Bittiya Sanstha Promoter (HLBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
CYCLP,CYC Nepal Laghubitta Bittiya Sanstha Limited Promoter Share (CYCLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,864,0,,,
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited (FMDBL),Microfinance,"13,448,713.23","7.78 (FY:081-082, Q:2)",101.93,125.33,6.33,"10,664,829,591.39",,,
SRBLD83,10.25% Sunrise Bank Debenture 2083 (SRBLD83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,058.00",0,,,
HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share (HIDCLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,181,0,,,
SBLD83,10.25% SBL Debenture 2083 (SBLD83),Corporate Debenture,"2,401,482.00","0.00 (FY:, Q:0)",0,0,"1,047.50","2,515,552,395.00",,,
SAPDBL,Saptakoshi Development Bank Ltd (SAPDBL),Development Bank Limited,"8,343,384.32","-7.17 (FY:081-082, Q:2)",-161.51,76.93,15.05,"9,661,639,042.56","5.04
                                
                                    (FY:074-075)","3.00
                                
                                    (FY:074-075)","1:1.3
                                
                                    (FY:072-073)"
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited (MMKJL),Hydro Power,"10,000,000.00","7.12 (FY:081-082, Q:2)",102.99,93.68,7.83,"7,333,000,000.00",,,
SGICP,Sanima GIC Insurance Limited Promoter Share (SGICP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,,,
RAWA,Rawa Energy Development Limited (RAWA),Hydro Power,"2,800,000.00","9.64 (FY:081-082, Q:2)",91.8,73.65,12.02,"2,478,000,000.00",,,
SIKLES,Sikles Hydropower Limited (SIKLES),Hydro Power,"8,500,000.00","23.42 (FY:081-082, Q:2)",51.15,118.59,10.1,"10,183,000,000.00","6.00
                                
                                    (FY:079-080)",,
BOKD2079,8% BOK Debenture 2079 (BOKD2079),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,0,0,,,
HBL,Himalayan Bank Limited (HBL),Commercial Banks,"216,566,156.30","14.03 (FY:081-082, Q:2)",16.89,176.11,1.35,"51,326,179,043.10",,,"7:1
                                
                                    (FY:071-072)"
SNLI,Sun Nepal Life Insurance Company Limited (SNLI),Life Insurance,"39,616,000.00","14.25 (FY:081-082, Q:2)",48.63,166.12,4.17,"27,453,888,000.00",,,
SMHL,Super Madi Hydropower Limited (SMHL),Hydro Power,"22,050,000.00","11.04 (FY:081-082, Q:2)",89.99,106.82,9.3,"21,906,675,000.00","0.26
                                
                                    (FY:080-081)","5.00
                                
                                    (FY:080-081)",
PMHPL,Panchakanya Mai Hydropower Ltd (PMHPL),Hydro Power,"11,000,000.00","5.16 (FY:081-082, Q:2)",58.14,85.99,3.49,"3,300,000,000.00",,,
SBD89,10.25% Sanima Debenture 2089 (SBD89),Corporate Debenture,"5,000,000.00","0.00 (FY:, Q:0)",0,0,"1,115.00","5,575,000,000.00",,,
JOSHI,Joshi Hydropower Development Company Ltd (JOSHI),Hydro Power,"3,714,000.00","-4.05 (FY:081-082, Q:2)",-94.54,51.34,7.46,"1,422,090,600.00",,,
NLBBLP,Nerude Laghubita Bittiya Sanstha Limited Promoter Share (NLBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,401,0,,,
OHL,Oriental Hotels Limited (OHL),Hotels And Tourism,"11,280,904.38","5.12 (FY:081-082, Q:2)",175.78,346.12,2.6,"10,152,813,942.00","0.26
                                
                                    (FY:080-081)","5.00
                                
                                    (FY:080-081)",
ICFCD88,9% ICFC Finance Limited Debenture-2088 (ICFCD88),Corporate Debenture,"300,000.00","0.00 (FY:, Q:0)",0,0,"1,060.00","318,000,000.00",,,
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED (SJCL),Hydro Power,"36,500,000.00","-7.43 (FY:081-082, Q:2)",-44.86,85.43,3.9,"12,165,450,000.00",,,
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited (GLBSL),Microfinance,"1,158,495.00","26.70 (FY:081-082, Q:2)",106.03,136.83,20.69,"3,279,699,345.00",,,
NBR2087,8.5% Nepal Bank Rinpatra 2087 (NBR2087),Corporate Debenture,"3,500,000.00","0.00 (FY:, Q:0)",0,0,0,0,,,
PPCL,Panchthar Power Company Limited (PPCL),Hydro Power,"9,625,000.00","-16.13 (FY:081-082, Q:2)",-19.71,88.15,3.61,"3,060,750,000.00",,,
HRL,Himalayan Reinsurance Limited (HRL),Others,"104,000,000.00","11.86 (FY:081-082, Q:2)",82.97,160.79,6.12,"102,336,000,000.00","0.21
                                
                                    (FY:079-080)","4.00
                                
                                    (FY:079-080)",
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited (AVYAN),Microfinance,"2,500,000.00","3.03 (FY:081-082, Q:2)",366.01,108.81,10.19,"2,772,500,000.00",,,
MATRIP,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter (MATRIP),Others,,"0.00 (FY:, Q:0)",0,0,766.5,0,,,
SRLIP,Sanima Reliance Life Insurance Limited Promoter Share (SRLIP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
KSBBLP,Kamana Sewa Bikas Bank Limited Promoter Share (KSBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,178.7,0,,,
NRBBR2076ka,Bikash Rinpatra 2076 Ka (NRBBR2076KA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NIBLSTF,NIBL Stable Fund (NIBLSTF),Mutual Fund,"113,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"948,070,000.00",,,
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL),Microfinance,"16,566,250.00","9.75 (FY:081-082, Q:2)",88.77,210.43,4.11,"14,338,089,375.00",,,
ICFCPO,ICFC Finance Limited Promotor Share (ICFCPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,369,0,"0.74
                                
                                    (FY:070-071)","14.00
                                
                                    (FY:070-071)",
MBLD2085,10.25% Machhapuchhre Bank Debenture 2085 (MBLD2085),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,180.00",0,,,
MLBLD89,11% Mahalaxmi Debenture-2089 (MLBLD89),Corporate Debenture,"1,000,000.00","0.00 (FY:, Q:0)",0,0,"1,200.00","1,200,000,000.00",,,
KBLD90,10% KBL Debenture 2090 (KBLD90),Corporate Debenture,"5,000,000.00","0.00 (FY:, Q:0)",0,0,"1,112.00","5,560,000,000.00",,,
SMFBSP,Swabhimaan Laghubitta Bittiya sanstha Limited (SMFBSP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,490,0,,,
SBIPO,Nepal SBI Bank Ltd. Promoter Share (SBIPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,"1,492.00",0,,,
KDL,Kalinchowk Darshan Limited (KDL),Hotels And Tourism,"6,000,000.00","1.58 (FY:081-082, Q:2)",733.54,101.43,11.43,"6,954,000,000.00",,,
PRSF,Prabhu Smart Fund (PRSF),Mutual Fund,"100,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,018,000,000.00","8.50
                                
                                    (FY:080-081)",,
SFCLP,Samriddhi Finance Company Limited Promoter Share (SFCLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,164,0,,,
ANLBP,Aatmanirbhar Laghubitta Bittiya Sanstha Limited Promoter Share (ANLBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
JFLPO,Janaki Finance Limited Promoter Share (JFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,349,0,"7.00
                                
                                    (FY:070-071)","70.00
                                
                                    (FY:070-071)",
LBLPO,Laxmi Bank Limited Promoter Share (LBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,"1.05
                                
                                    (FY:070-071)","20.00
                                
                                    (FY:070-071)","1:1
                                
                                    (FY:071-072)"
SFEF,Sunrise Focused Equity Fund (SFEF),Mutual Fund,"100,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"930,000,000.00","4.50
                                
                                    (FY:080-081)",,
HRLP,Himalayan Reinsurance Limited Promoter (HRLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
USLBP,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share (USLBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,,,
NRM,Nepal Republic Media Limited (NRM),Others,"9,675,000.00","-1.20 (FY:081-082, Q:2)",-419.17,87.99,5.72,"4,866,525,000.00",,,
GBD80/81,10.25% Global IME Bank Limited Debenture 2080/81 (GBD80/81),Corporate Debenture,"103,105,160.00","0.00 (FY:, Q:0)",0,0,"1,040.00","107,229,366,400.00",,,
C30MF,Citizens Super 30 Mutual Fund (C30MF),Mutual Fund,"75,072,390.00","0.00 (FY:081-082, Q:10)",0,0,0,"692,167,435.80","10.00
                                
                                    (FY:080-081)",,
SICL,Shikhar Insurance Co. Ltd. (SICL),Non-Life Insurance,"29,204,420.30","17.62 (FY:081-082, Q:2)",45.18,201.92,3.94,"23,246,718,558.80",,,"1:0.3
                                
                                    (FY:078-079)"
NICLBSLP,NIC ASIA Laghubitta Bittiya Sanstha Limited Promoter Share (NICLBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,504.2,0,,,
MDBPO,Miteri Development Bank Limited Promoter Share (MDBPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,379,0,"1.58
                                
                                    (FY:071-072)","30.00
                                
                                    (FY:071-072)",
NIFRAP,Nepal Infrastructure Bank Limited Promoter (NIFRAP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,111,0,,,
RSDCP,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share (RSDCP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,310,0,,,
TPC,Terhathum Power Company Limited (TPC),Hydro Power,"4,000,000.00","19.88 (FY:081-082, Q:2)",27.77,65.72,8.4,"2,208,000,000.00",,,
NRBBR2076Kha,Bikash Rinpatra 2076 Kha (NRBBR2076KHA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NIMB,Nepal Investment Mega Bank Limited  (NIMB),Commercial Banks,"341,285,950.00","16.60 (FY:081-082, Q:2)",13.02,185.05,1.17,"73,751,893,795.00",,,
MNMF1,Muktinath Mutual Fund 1 (MNMF1),Mutual Fund,"125,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,133,750,000.00",,,
JBBLPO,Jyoti Bikash Bank Ltd. Promoter Share (JBBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,188.3,0,"5.60
                                
                                    (FY:069-070)","9.00
                                
                                    (FY:071-072)",
